Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-CHam_008-SdC02008-L2-clmp-fp2-repr.R1	0.1158772817702698	0.10889672262748244
Sde-CHam_008-SdC02008-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_010-SdC02010-L2-clmp-fp2-repr.R1	0.3999158071984845	8.903388760261011
Sde-CHam_010-SdC02010-L2-clmp-fp2-repr.R2	0.3367712060618817	6.503893917070098
Sde-CHam_013-SdC02013-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_013-SdC02013-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_014-SdC02014-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_014-SdC02014-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_016-SdC02016-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_016-SdC02016-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_018-SdC02018-L2-clmp-fp2-repr.R1	0.17149198022798345	3.328961969131444
Sde-CHam_018-SdC02018-L2-clmp-fp2-repr.R2	0.17149198022798345	2.451326540905882
Sde-CHam_019-SdC02019-L2-clmp-fp2-repr.R1	0.11976579134137687	0.0
Sde-CHam_019-SdC02019-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_020-SdC02020-L2-clmp-fp2-repr.R1	0.1352493660185968	0.3268526345449423
Sde-CHam_020-SdC02020-L2-clmp-fp2-repr.R2	0.11270780501549732	0.11270780501549732
Sde-CHam_022-SdC02022-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_022-SdC02022-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_027-SdC02027-L2-clmp-fp2-repr.R1	0.45627376425855515	15.589353612167308
