Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdC02041_CKDL210020579-1a-AK3905-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18838.0
SdC02041_CKDL210020579-1a-AK3905-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18834.0
SdC02043_CKDL210020579-1a-AK7759-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1613.0
SdC02043_CKDL210020579-1a-AK7759-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1615.0
SdC02044_CKDL210020579-1a-AK7759-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4538.0
SdC02044_CKDL210020579-1a-AK7759-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4539.0
SdC02045_CKDL210020579-1a-AK8587-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5869.0
SdC02045_CKDL210020579-1a-AK8587-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5870.0
SdC02046_CKDL210020579-1a-AK6881-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	38.0	4.0	4.0	2.0	5.0	3.0	0.0	1.0	0.0	0.0	13.0	138756.0
SdC02046_CKDL210020579-1a-AK6881-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	44.0	11.0	9.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	13.0	138742.0
SdC02048_CKDL210020579-1a-AK3905-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4307.0
SdC02048_CKDL210020579-1a-AK3905-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4309.0
SdC02050_CKDL210020579-1a-AK3905-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	25.0	6.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	54338.0
SdC02050_CKDL210020579-1a-AK3905-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	21.0	6.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	54344.0
SdC02051_CKDL210020579-1a-AK8410-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5763.0
SdC02051_CKDL210020579-1a-AK8410-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5768.0
SdC02054_CKDL210020579-1a-5UDI298-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7469.0
SdC02054_CKDL210020579-1a-5UDI298-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7466.0
SdC02056_CKDL210020579-1a-AK8410-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	31.0	4.0	5.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	66689.0
SdC02056_CKDL210020579-1a-AK8410-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	26.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	66695.0
SdC02059_CKDL210020579-1a-AK9141-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5945.0
SdC02059_CKDL210020579-1a-AK9141-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5939.0
SdC02060_CKDL210020579-1a-AK6260-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	10.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	27901.0
SdC02060_CKDL210020579-1a-AK6260-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	12.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	27895.0
SdC02063_CKDL210020579-1a-AK6260-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16602.0
SdC02063_CKDL210020579-1a-AK6260-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	16607.0
SdC02064_CKDL210020579-1a-AK9142-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	8.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	27786.0
SdC02064_CKDL210020579-1a-AK9142-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	27791.0
SdC02065_CKDL210020579-1a-AK7761-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1602.0
SdC02065_CKDL210020579-1a-AK7761-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1598.0
SdC02066_CKDL210020579-1a-AK6881-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7040.0
SdC02066_CKDL210020579-1a-AK6881-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7045.0
SdC02070_CKDL210020579-1a-AK9142-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	56.0	5.0	8.0	5.0	2.0	1.0	2.0	1.0	0.0	0.0	15.0	157778.0
SdC02070_CKDL210020579-1a-AK9142-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	55.0	11.0	10.0	4.0	1.0	2.0	1.0	0.0	0.0	0.0	11.0	157778.0
SdC02072_CKDL210020579-1a-AK6260-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11892.0
SdC02072_CKDL210020579-1a-AK6260-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11894.0
SdC02074_CKDL210020579-1a-AK6881-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	7.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	16980.0
SdC02074_CKDL210020579-1a-AK6881-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16985.0
SdC02075_CKDL210020579-1a-AK8410-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	253.0	63.0	42.0	19.0	17.0	7.0	9.0	5.0	0.0	0.0	55.0	781773.0
SdC02075_CKDL210020579-1a-AK8410-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	285.0	52.0	42.0	16.0	16.0	10.0	2.0	3.0	0.0	0.0	44.0	781773.0
SdC02077_CKDL210020579-1a-AK8410-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	57.0	10.0	6.0	6.0	4.0	4.0	1.0	1.0	0.0	0.0	-4.0	421512.0
SdC02077_CKDL210020579-1a-AK8410-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	54.0	18.0	5.0	2.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	421512.0
SdC02078_CKDL210020579-1a-AK7759-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2750.0
SdC02078_CKDL210020579-1a-AK7759-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2748.0
SdC02080_CKDL210020579-1a-AK7010-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4829.0
SdC02080_CKDL210020579-1a-AK7010-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4826.0
SdC02081_CKDL210020579-1a-AK3905-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	3.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	15938.0
SdC02081_CKDL210020579-1a-AK3905-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	5.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15935.0
SdC02082_CKDL210020579-1a-AK7010-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	6.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11951.0
SdC02082_CKDL210020579-1a-AK7010-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	11953.0
SdC02083_CKDL210020579-1a-AK6881-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4769.0
SdC02083_CKDL210020579-1a-AK6881-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	4770.0
SdC02084_CKDL210020579-1a-AK7010-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	44.0	3.0	7.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	9.0	85713.0
SdC02084_CKDL210020579-1a-AK7010-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	40.0	8.0	6.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	10.0	85713.0
SdC02087_CKDL210020579-1a-AK6260-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1679.0
SdC02087_CKDL210020579-1a-AK6260-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1680.0
SdC02090_CKDL210020579-1a-AK8587-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4531.0
SdC02090_CKDL210020579-1a-AK8587-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4529.0
SdC02092_CKDL210020579-1a-AK7010-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	918.0	191.0	142.0	60.0	52.0	31.0	23.0	8.0	0.0	0.0	151.0	2248573.0
SdC02092_CKDL210020579-1a-AK7010-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	837.0	184.0	141.0	59.0	62.0	22.0	10.0	9.0	0.0	0.0	252.0	2248573.0
SdC02093_CKDL210020579-1a-AK7010-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2958.0
SdC02093_CKDL210020579-1a-AK7010-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2959.0
SdC02094_CKDL210020579-1a-AK7010-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	10311.0
SdC02094_CKDL210020579-1a-AK7010-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10309.0
SdC02095_CKDL210020579-1a-AK8410-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	381.0	88.0	66.0	23.0	25.0	13.0	10.0	10.0	0.0	0.0	87.0	1170623.0
SdC02095_CKDL210020579-1a-AK8410-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	369.0	67.0	62.0	30.0	25.0	16.0	10.0	2.0	0.0	0.0	122.0	1170623.0
SdC02096_CKDL210020579-1a-AK7759-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	13.0	0.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	54210.0
SdC02096_CKDL210020579-1a-AK7759-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	10.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	54210.0
